year,month,decimal,average
2010,1,2010.042,388.62
2010,2,2010.125,389.33
2010,3,2010.208,389.68
2010,4,2010.292,389.98
2010,5,2010.375,389.95
2010,6,2010.458,389.01
2010,7,2010.542,387.35
2010,8,2010.625,386.23
2010,9,2010.708,386.7
2010,10,2010.792,388.25
2010,11,2010.875,389.62
2010,12,2010.958,390.36
2011,1,2011.042,390.93
2011,2,2011.125,391.35
2011,3,2011.208,391.67
2011,4,2011.292,392.05
2011,5,2011.375,392.07
2011,6,2011.458,391.13
2011,7,2011.542,389.19
2011,8,2011.625,387.86
2011,9,2011.708,388.26
2011,10,2011.792,389.83
2011,11,2011.875,391.2
2011,12,2011.958,392.04
2012,1,2012.042,392.61
2012,2,2012.125,393.2
2012,3,2012.208,393.73
2012,4,2012.292,393.99
2012,5,2012.375,393.88
2012,6,2012.458,392.84
2012,7,2012.542,391
2012,8,2012.625,389.89
2012,9,2012.708,390.55
2012,10,2012.792,392.16
2012,11,2012.875,393.56
2012,12,2012.958,394.39
2013,1,2013.042,395.07
2013,2,2013.125,395.7
2013,3,2013.208,396.29
2013,4,2013.292,396.74
2013,5,2013.375,396.75
2013,6,2013.458,395.96
2013,7,2013.542,394.47
2013,8,2013.625,393.24
2013,9,2013.708,393.21
2013,10,2013.792,394.51
2013,11,2013.875,395.97
2013,12,2013.958,396.88
2014,1,2014.042,397.51
2014,2,2014.125,397.97
2014,3,2014.208,398.27
2014,4,2014.292,398.63
2014,5,2014.375,398.69
2014,6,2014.458,397.72
2014,7,2014.542,396.13
2014,8,2014.625,395.02
2014,9,2014.708,395.12
2014,10,2014.792,396.38
2014,11,2014.875,397.86
2014,12,2014.958,398.84
2015,1,2015.042,399.56
2015,2,2015.125,400.12
2015,3,2015.208,400.57
2015,4,2015.292,400.96
2015,5,2015.375,400.91
2015,6,2015.458,400.06
2015,7,2015.542,398.37
2015,8,2015.625,397.06
2015,9,2015.708,397.34
2015,10,2015.792,398.8
2015,11,2015.875,400.37
2015,12,2015.958,401.66
2016,1,2016.042,402.61
2016,2,2016.125,403.25
2016,3,2016.208,403.84
2016,4,2016.292,404.36
2016,5,2016.375,404.4
2016,6,2016.458,403.62
2016,7,2016.542,402.1
2016,8,2016.625,400.78
2016,9,2016.708,400.95
2016,10,2016.792,402.4
2016,11,2016.875,403.76
2016,12,2016.958,404.67
2017,1,2017.042,405.32
2017,2,2017.125,405.91
2017,3,2017.208,406.32
2017,4,2017.292,406.61
2017,5,2017.375,406.65
2017,6,2017.458,405.86
2017,7,2017.542,404.11
2017,8,2017.625,402.57
2017,9,2017.708,402.66
2017,10,2017.792,404.16
2017,11,2017.875,405.7
2017,12,2017.958,406.75
2018,1,2018.042,407.53
2018,2,2018.125,408.23
2018,3,2018.208,408.77
2018,4,2018.292,409.07
2018,5,2018.375,408.93
2018,6,2018.458,408.06
2018,7,2018.542,406.48
2018,8,2018.625,405.11
2018,9,2018.708,405.18
2018,10,2018.792,406.65
2018,11,2018.875,408.12
2018,12,2018.958,409.19
2019,1,2019.042,409.92
2019,2,2019.125,410.34
2019,3,2019.208,410.89
2019,4,2019.292,411.33
2019,5,2019.375,411.34
2019,6,2019.458,410.53
2019,7,2019.542,408.88
2019,8,2019.625,407.64
2019,9,2019.708,407.92
2019,10,2019.792,409.44
2019,11,2019.875,410.87
2019,12,2019.958,411.76
2020,1,2020.042,412.43
2020,2,2020.125,412.95
2020,3,2020.208,413.44
2020,4,2020.292,413.86
2020,5,2020.375,413.81
2020,6,2020.458,412.88
2020,7,2020.542,411.17
2020,8,2020.625,409.73
2020,9,2020.708,410
2020,10,2020.792,411.66
2020,11,2020.875,413.25
2020,12,2020.958,414.14
2021,1,2021.042,414.74
2021,2,2021.125,415.2
2021,3,2021.208,415.49
2021,4,2021.292,415.81
2021,5,2021.375,416.01
2021,6,2021.458,415.2
2021,7,2021.542,413.45
2021,8,2021.625,412.15
2021,9,2021.708,412.38
2021,10,2021.792,413.83
2021,11,2021.875,415.58
2021,12,2021.958,416.61
2022,1,2022.042,417.18
2022,2,2022.125,417.64
2022,3,2022.208,418.16
2022,4,2022.292,418.58
2022,5,2022.375,418.45
2022,6,2022.458,417.43
2022,7,2022.542,415.68
2022,8,2022.625,414.41
2022,9,2022.708,414.63
2022,10,2022.792,416.14
2022,11,2022.875,417.77
2022,12,2022.958,418.8
2023,1,2023.042,419.31
2023,2,2023.125,419.66
2023,3,2023.208,420.02
2023,4,2023.292,420.5
2023,5,2023.375,420.52
2023,6,2023.458,419.54
2023,7,2023.542,417.86
2023,8,2023.625,416.64
2023,9,2023.708,417.05
2023,10,2023.792,418.74
2023,11,2023.875,420.36
2023,12,2023.958,421.57